sex,measure,length_height_cm,z_minus_3,z_minus_2,z_minus_1,z_0,z_plus_1,z_plus_2,z_plus_3
M,length,54.5,3.4,3.7,4.0,4.4066,4.0,3.7,3.4
M,length,55.0,3.6,3.8,4.2,4.5467,4.2,3.8,3.6
M,length,55.5,3.7,4.0,4.3,4.6892,4.3,4.0,3.7
M,length,56.0,3.8,4.1,4.4,4.8338,4.4,4.1,3.8
M,length,56.5,3.9,4.2,4.6,4.9796,4.6,4.2,3.9
M,length,57.0,4.0,4.3,4.7,5.1259,4.7,4.3,4.0
M,length,57.5,4.1,4.5,4.9,5.2721,4.9,4.5,4.1
M,length,58.0,4.3,4.6,5.0,5.418,5.0,4.6,4.3
M,length,58.5,4.4,4.7,5.1,5.5632,5.1,4.7,4.4
M,length,59.0,4.5,4.8,5.3,5.7074,5.3,4.8,4.5
M,length,59.5,4.6,5.0,5.4,5.8501,5.4,5.0,4.6
M,length,60.0,4.7,5.1,5.5,5.9907,5.5,5.1,4.7
M,length,60.5,4.8,5.2,5.6,6.1284,5.6,5.2,4.8
M,length,61.0,4.9,5.3,5.8,6.2632,5.8,5.3,4.9
M,length,61.5,5.0,5.4,5.9,6.3954,5.9,5.4,5.0
M,length,62.0,5.1,5.6,6.0,6.5251,6.0,5.6,5.1
M,length,62.5,5.2,5.7,6.1,6.6527,6.1,5.7,5.2
M,length,63.0,5.3,5.8,6.2,6.7786,6.2,5.8,5.3
M,length,63.5,5.4,5.9,6.4,6.9028,6.4,5.9,5.4
M,length,64.0,5.5,6.0,6.5,7.0255,6.5,6.0,5.5
M,length,64.5,5.6,6.1,6.6,7.1467,6.6,6.1,5.6
M,length,65.0,5.7,6.2,6.7,7.2666,6.7,6.2,5.7
M,length,65.5,5.8,6.3,6.8,7.3854,6.8,6.3,5.8
M,length,66.0,5.9,6.4,6.9,7.5034,6.9,6.4,5.9
M,length,66.5,6.0,6.5,7.0,7.6206,7.0,6.5,6.0
M,length,67.0,6.1,6.6,7.1,7.737,7.1,6.6,6.1
M,length,67.5,6.2,6.7,7.2,7.8526,7.2,6.7,6.2
M,length,68.0,6.3,6.8,7.3,7.9674,7.3,6.8,6.3
M,length,68.5,6.4,6.9,7.5,8.0816,7.5,6.9,6.4
M,length,69.0,6.5,7.0,7.6,8.1955,7.6,7.0,6.5
M,length,69.5,6.6,7.1,7.7,8.3092,7.7,7.1,6.6
M,length,70.0,6.6,7.2,7.8,8.4227,7.8,7.2,6.6
M,length,70.5,6.7,7.3,7.9,8.5358,7.9,7.3,6.7
M,length,71.0,6.8,7.4,8.0,8.648,8.0,7.4,6.8
M,length,71.5,6.9,7.5,8.1,8.7594,8.1,7.5,6.9
M,length,72.0,7.0,7.6,8.2,8.8697,8.2,7.6,7.0
M,length,72.5,7.1,7.6,8.3,8.9788,8.3,7.6,7.1
M,length,73.0,7.2,7.7,8.4,9.0865,8.4,7.7,7.2
M,length,73.5,7.2,7.8,8.5,9.1927,8.5,7.8,7.2
M,length,74.0,7.3,7.9,8.6,9.2974,8.6,7.9,7.3
M,length,74.5,7.4,8.0,8.7,9.401,8.7,8.0,7.4
M,length,75.0,7.5,8.1,8.8,9.5032,8.8,8.1,7.5
M,length,75.5,7.6,8.2,8.8,9.6041,8.8,8.2,7.6
M,length,76.0,7.6,8.3,8.9,9.7033,8.9,8.3,7.6
M,length,76.5,7.7,8.3,9.0,9.8007,9.0,8.3,7.7
M,length,77.0,7.8,8.4,9.1,9.8963,9.1,8.4,7.8
M,length,77.5,7.9,8.5,9.2,9.9902,9.2,8.5,7.9
M,length,78.0,7.9,8.6,9.3,10.0827,9.3,8.6,7.9
M,length,78.5,8.0,8.7,9.4,10.1741,9.4,8.7,8.0
M,length,79.0,8.1,8.7,9.5,10.2649,9.5,8.7,8.1
M,length,79.5,8.2,8.8,9.5,10.3558,9.5,8.8,8.2
M,length,80.0,8.2,8.9,9.6,10.4475,9.6,8.9,8.2
M,length,80.5,8.3,9.0,9.7,10.5405,9.7,9.0,8.3
M,length,81.0,8.4,9.1,9.8,10.6352,9.8,9.1,8.4
M,length,81.5,8.5,9.1,9.9,10.7322,9.9,9.1,8.5
M,length,82.0,8.5,9.2,10.0,10.8321,10.0,9.2,8.5
M,length,82.5,8.6,9.3,10.1,10.935,10.1,9.3,8.6
M,length,83.0,8.7,9.4,10.2,11.0415,10.2,9.4,8.7
M,length,83.5,8.8,9.5,10.3,11.1516,10.3,9.5,8.8
M,length,84.0,8.9,9.6,10.4,11.2651,10.4,9.6,8.9
M,length,84.5,9.0,9.7,10.5,11.3817,10.5,9.7,9.0
M,length,85.0,9.1,9.8,10.6,11.5007,10.6,9.8,9.1
M,length,85.5,9.2,9.9,10.7,11.6218,10.7,9.9,9.2
M,length,86.0,9.3,10.0,10.8,11.7444,10.8,10.0,9.3
M,length,86.5,9.4,10.1,11.0,11.8678,11.0,10.1,9.4
M,length,87.0,9.5,10.2,11.1,11.9916,11.1,10.2,9.5
M,length,87.5,9.6,10.4,11.2,12.1152,11.2,10.4,9.6
M,length,88.0,9.7,10.5,11.3,12.2382,11.3,10.5,9.7
M,length,88.5,9.8,10.6,11.4,12.3603,11.4,10.6,9.8
M,length,89.0,9.9,10.7,11.5,12.4815,11.5,10.7,9.9
M,length,89.5,10.0,10.8,11.6,12.6017,11.6,10.8,10.0
M,length,90.0,10.1,10.9,11.8,12.7209,11.8,10.9,10.1
M,length,90.5,10.2,11.0,11.9,12.8392,11.9,11.0,10.2
M,length,91.0,10.3,11.1,12.0,12.9569,12.0,11.1,10.3
M,length,91.5,10.4,11.2,12.1,13.0742,12.1,11.2,10.4
M,length,92.0,10.5,11.3,12.2,13.191,12.2,11.3,10.5
M,length,92.5,10.6,11.4,12.3,13.3075,12.3,11.4,10.6
M,length,93.0,10.7,11.5,12.4,13.4239,12.4,11.5,10.7
M,length,93.5,10.7,11.6,12.5,13.5404,12.5,11.6,10.7
M,length,94.0,10.8,11.7,12.6,13.6572,12.6,11.7,10.8
M,length,94.5,10.9,11.8,12.7,13.7746,12.7,11.8,10.9
M,length,95.0,11.0,11.9,12.8,13.8928,12.8,11.9,11.0
M,length,95.5,11.1,12.0,12.9,14.012,12.9,12.0,11.1
M,length,96.0,11.2,12.1,13.1,14.1325,13.1,12.1,11.2
M,length,96.5,11.3,12.2,13.2,14.2544,13.2,12.2,11.3
M,length,97.0,11.4,12.3,13.3,14.3782,13.3,12.3,11.4
M,length,97.5,11.5,12.4,13.4,14.5038,13.4,12.4,11.5
M,length,98.0,11.6,12.5,13.5,14.6316,13.5,12.5,11.6
M,length,98.5,11.7,12.6,13.6,14.7614,13.6,12.6,11.7
M,length,99.0,11.8,12.7,13.7,14.8934,13.7,12.7,11.8
M,length,99.5,11.9,12.8,13.9,15.0275,13.9,12.8,11.9
M,length,100.0,12.0,12.9,14.0,15.1637,14.0,12.9,12.0
M,length,100.5,12.1,13.0,14.1,15.3018,14.1,13.0,12.1
M,length,101.0,12.2,13.2,14.2,15.4419,14.2,13.2,12.2
M,length,101.5,12.3,13.3,14.4,15.5838,14.4,13.3,12.3
M,length,102.0,12.4,13.4,14.5,15.7276,14.5,13.4,12.4
M,length,102.5,12.5,13.5,14.6,15.8732,14.6,13.5,12.5
M,length,103.0,12.6,13.6,14.8,16.0206,14.8,13.6,12.6
M,length,103.5,12.7,13.7,14.9,16.1697,14.9,13.7,12.7
M,length,104.0,12.8,13.9,15.0,16.3204,15.0,13.9,12.8
M,length,104.5,12.9,14.0,15.2,16.4728,15.2,14.0,12.9
M,length,105.0,13.0,14.1,15.3,16.6268,15.3,14.1,13.0
M,length,105.5,13.2,14.2,15.4,16.7826,15.4,14.2,13.2
M,length,106.0,13.3,14.4,15.6,16.9401,15.6,14.4,13.3
M,length,106.5,13.4,14.5,15.7,17.0995,15.7,14.5,13.4
M,length,107.0,13.5,14.6,15.9,17.2607,15.9,14.6,13.5
M,length,107.5,13.6,14.7,16.0,17.4237,16.0,14.7,13.6
M,length,108.0,13.7,14.9,16.2,17.5885,16.2,14.9,13.7
M,length,108.5,13.8,15.0,16.3,17.7553,16.3,15.0,13.8
M,length,109.0,14.0,15.1,16.5,17.9242,16.5,15.1,14.0
M,length,109.5,14.1,15.3,16.6,18.0954,16.6,15.3,14.1
M,length,110.0,14.2,15.4,16.8,18.2689,16.8,15.4,14.2
